EmployeeID,Age,YearsExperience,Department,EducationLevel,MonthlyHoursWorked,MonthlySalary
224,53,3,it,MSc,139,235000
239,52,19,It,PhD,177,75000
177,29,16,,BSc,205,270000
779,24,6,HR,High School,230,100000
282,46,3,HR,BSc,173,115000
63,28,28,HR,high school,213,55000
217,50,13,,BSc,201,245000
795,23,2,Finance,MSc,187,60000
689,32,23,FINANCE,High School,83,-50000
461,49,36,FINANCE,BSc,172,220000
610,28,15,It,High School,230,210000
105,40,3,HR,High School,85,165000
99,43,23,Finance,high school,111,140000
511,51,33,it,high school,185,135000
385,,29,IT,MSc,225,290000
405,51,17,Finance,PhD,94,1000000
518,46,18,,High School,201,165000
476,21,30,FINANCE,PhD,175,270000
709,34,18,FINANCE,MSc,85,220000
645,52,18,it,High School,191,50000
771,30,21,it,High School,199,225000
437,58,23,,,202,170000
23,56,11,IT,PhD,146,270000
565,32,29,it,BSc,185,290000
677,46,37,It,high school,218,260000
714,46,30,IT,BSc,122,215000
458,28,35,it,PhD,224,170000
83,49,18,Hr,high school,175,125000
145,19,35,Finance,BSc,211,215000
85,31,29,it,,160,190000
78,37,32,It,high school,120,140000
457,39,17,HR,High School,212,160000
1,28,27,it,BSc,239,140000
51,44,10,FINANCE,high school,114,170000
685,20,32,FINANCE,,101,125000
717,34,16,FINANCE,high school,229,
772,-10,5,HR,high school,191,300000
446,45,3,FINANCE,,90,90000
449,46,19,Hr,BSc,82,50000
488,38,26,it,MSc,216,255000
800,33,14,,BSc,139,140000
34,54,5,FINANCE,PhD,155,210000
348,37,13,IT,,166,215000
95,23,10,,BSc,93,125000
72,36,38,HR,high school,97,265000
551,22,8,Hr,,192,245000
154,20,25,IT,High School,152,135000
250,18,15,IT,BSc,102,215000
674,55,4,IT,,162,170000
438,32,9,IT,BSc,204,270000
118,51,2,,,148,75000
771,52,12,,high school,126,150000
306,42,29,it,High School,195,75000
268,41,5,FINANCE,High School,109,205000
54,29,16,Finance,PhD,104,250000
236,35,18,it,,235,285000
389,32,,it,BSc,191,260000
734,-10,34,Hr,High School,104,240000
763,33,25,Hr,High School,153,200000
401,44,4,FINANCE,MSc,137,255000
624,25,28,Finance,MSc,173,95000
767,,36,Hr,High School,198,195000
303,42,19,FINANCE,,206,1000000
207,34,20,FINANCE,PhD,104,135000
229,46,9,,High School,157,165000
578,25,4,It,high school,178,1000000
75,32,35,,BSc,195,90000
435,44,5,Finance,PhD,127,200000
103,,25,Hr,high school,89,120000
422,24,3,Finance,PhD,178,65000
704,20,38,it,high school,90,245000
764,46,38,it,BSc,164,90000
738,-10,34,Finance,BSc,228,270000
306,41,0,It,MSc,214,90000
98,20,23,It,,205,175000
798,37,35,,high school,143,65000
335,,5,Finance,MSc,81,130000
435,32,40,Hr,high school,155,125000
447,42,30,,MSc,200,120000
308,47,19,HR,BSc,121,220000
249,31,23,It,PhD,133,1000000
166,24,24,IT,MSc,154,70000
481,34,35,,high school,95,70000
335,-10,20,it,high school,97,145000
542,37,29,,,169,120000
759,53,23,Finance,BSc,223,135000
106,26,,IT,high school,85,280000
563,55,29,Finance,High School,187,55000
81,39,21,FINANCE,PhD,127,190000
133,19,27,it,MSc,121,110000
797,41,6,it,,155,65000
138,25,34,It,PhD,156,255000
184,28,27,,BSc,211,270000
401,30,13,It,,209,95000
330,34,9,IT,MSc,138,200000
785,25,15,,MSc,234,250000
508,38,15,FINANCE,High School,106,85000
69,35,30,Finance,BSc,158,60000
546,47,,FINANCE,,151,285000
774,35,24,it,,86,275000
53,,12,IT,high school,190,90000
450,48,5,HR,High School,198,195000
205,55,8,IT,High School,142,-50000
126,49,35,Hr,,203,100000
747,28,19,IT,,91,220000
43,120,17,FINANCE,PhD,220,230000
752,42,20,Hr,PhD,122,255000
111,50,3,Hr,PhD,96,110000
761,55,32,,High School,142,225000
663,58,26,,high school,199,110000
183,25,6,Hr,MSc,115,105000
95,28,5,HR,PhD,87,230000
374,39,14,,high school,148,95000
520,41,17,IT,BSc,169,90000
360,58,31,FINANCE,PhD,115,1000000
696,34,10,IT,MSc,107,80000
281,29,19,HR,BSc,197,55000
195,,23,it,BSc,172,
195,49,14,It,MSc,155,160000
667,32,6,FINANCE,PhD,180,240000
93,33,20,,High School,237,245000
672,39,,FINANCE,MSc,230,240000
61,45,25,IT,MSc,223,150000
634,37,13,It,MSc,93,160000
51,50,36,Finance,BSc,150,190000
403,27,20,Finance,high school,203,115000
789,57,17,,High School,204,175000
5,49,4,HR,PhD,116,300000
466,50,2,Finance,PhD,108,70000
604,19,22,FINANCE,high school,222,200000
682,50,25,Finance,MSc,98,170000
534,50,36,it,High School,185,200000
405,58,23,it,PhD,100,295000
513,30,18,,,143,145000
645,47,24,it,PhD,106,265000
233,50,20,Finance,MSc,134,130000
524,30,11,HR,,108,270000
346,43,40,Hr,high school,227,55000
46,39,32,Hr,High School,104,170000
546,56,3,,high school,149,110000
78,19,,It,high school,142,240000
730,55,6,Hr,High School,,185000
73,56,21,Hr,High School,209,255000
794,43,32,it,PhD,229,75000
249,,16,it,PhD,95,60000
47,32,23,Finance,High School,225,220000
121,51,33,,,179,135000
214,59,27,It,BSc,109,100000
239,-10,40,,PhD,124,
56,57,38,IT,BSc,98,145000
350,28,21,FINANCE,,113,70000
107,20,16,It,High School,220,140000
48,23,33,It,,141,155000
573,26,5,HR,PhD,197,140000
337,23,5,,high school,179,280000
26,26,33,Finance,High School,101,125000
257,56,0,HR,MSc,190,165000
8,48,9,It,BSc,,250000
625,49,20,It,,152,65000
253,58,4,It,High School,226,120000
692,29,1,Hr,,117,170000
719,25,21,,High School,149,265000
303,25,1,FINANCE,PhD,195,220000
639,45,9,FINANCE,PhD,158,115000
56,37,33,HR,PhD,227,290000
726,24,15,It,,88,140000
526,28,38,FINANCE,MSc,111,235000
474,37,21,it,PhD,211,225000
28,33,11,,High School,129,80000
78,21,23,FINANCE,PhD,161,195000
216,23,39,Finance,high school,84,140000
386,39,37,,PhD,227,290000
365,43,9,Finance,,166,170000
666,20,34,FINANCE,MSc,205,125000
526,58,31,it,high school,154,280000
699,59,6,Finance,,101,
312,31,20,Hr,,147,245000
7,28,19,FINANCE,,123,300000
3,35,25,Hr,High School,113,85000
623,29,3,FINANCE,,156,135000
750,40,21,IT,High School,121,185000
363,29,14,IT,,216,125000
751,30,39,IT,BSc,185,1000000
508,42,20,Finance,high school,174,140000
274,120,14,Hr,BSc,214,255000
506,36,21,Hr,,147,130000
739,,27,Hr,high school,226,270000
15,53,13,it,high school,238,110000
192,120,26,Hr,MSc,207,80000
631,25,40,it,BSc,-20,180000
485,46,39,IT,MSc,164,95000
28,49,27,IT,high school,238,215000
714,-10,25,Finance,High School,162,225000
39,35,1,FINANCE,high school,174,170000
273,23,24,IT,MSc,111,75000
